** CONVERTED FROM F:\HBOT-Visual-Task-Files\Horizontal Step\step012.edf using edfapi 3.1 Win32 Mar  2 2011 on Mon Jun 09 08:50:34 2014
** DATE: Fri Feb 11 10:14:26 2011
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK II
** EYELINK II v2.22 Feb  8 2008
** SERIAL NUMBERS: board=9913E headband=9C38F
** RECORDED BY Step_Displacement
** SREB1.5.58 LID:56738F02 Mod:2010.07.20 13:57 EDT
**

MSG	2905010.0 DISPLAY_COORDS 0 0 1919 1199
MSG	2905010.0 RETRACE_INTERVAL  16.6519457819
INPUT	2905938.0	255
INPUT	2906676.0	0
INPUT	2907308.0	255
MSG	2910243.0 DRIFTCORRECT LR LEFT  at 960,600  OFFSET 0.54 deg.  24.0,-5.4 pix.
MSG	2910243.0 DRIFTCORRECT LR RIGHT at 960,600  OFFSET 0.68 deg.  23.4,19.8 pix.
MSG	2913058.0 TRIALID 0
MSG	2913073.0 RECCFG P 500 2 1 
MSG	2913073.0 GAZE_COORDS 0.00 0.00 1919.00 1199.00
START	2913074.0 	LEFT	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RIGHT	RES	RATE	 500.00	TRACKING	P	FILTER	2
SAMPLES	GAZE	LEFT	RIGHT	VEL	RES	RATE	 500.00	TRACKING	P	FILTER	2
MSG	2913074.0 !MODE RECORD P 500 2 1
INPUT	2913074.0	255
2913074.0	  889.6	  543.9	 1330.0	  900.2	  552.0	 1986.0	   -2.2	   -3.4	    0.0	    2.2	  44.80	  44.60	.
2913076.0	  889.4	  543.6	 1330.0	  900.2	  552.2	 1986.0	   -1.7	   -1.1	    1.1	    1.7	  44.80	  44.60	.
2913078.0	  889.3	  543.7	 1331.0	  900.4	  552.3	 1989.0	   -1.5	   -0.2	    0.2	   -0.4	  44.80	  44.60	.
2913080.0	  889.3	  543.6	 1331.0	  900.3	  552.0	 1990.0	   -2.4	    0.6	   -0.6	   -1.7	  44.80	  44.60	.
2913082.0	  888.9	  543.8	 1331.0	  900.2	  552.0	 1990.0	   -3.2	    0.9	   -0.9	   -2.1	  44.80	  44.60	.
2913084.0	  888.5	  543.8	 1332.0	  900.1	  551.6	 1990.0	   -3.0	    1.1	   -0.6	   -2.1	  44.80	  44.60	.
2913086.0	  888.4	  544.0	 1334.0	  900.1	  551.6	 1990.0	   -2.0	    2.4	    0.0	   -0.6	  44.80	  44.60	.
2913088.0	  888.2	  544.0	 1335.0	  900.1	  551.3	 1990.0	   -1.3	    3.0	    0.7	    2.2	  44.80	  44.60	.
2913090.0	  888.1	  544.9	 1335.0	  900.2	  552.0	 1990.0	   -1.5	    2.4	    0.4	    3.9	  44.80	  44.60	.
2913092.0	  888.1	  544.5	 1335.0	  900.4	  552.4	 1989.0	   -2.2	    1.5	   -1.3	    3.6	  44.80	  44.60	.
2913094.0	  887.7	  544.8	 1335.0	  900.0	  552.6	 1989.0	   -3.0	    1.1	   -2.6	    1.7	  44.80	  44.60	.
2913096.0	  887.4	  544.9	 1334.0	  899.6	  552.6	 1989.0	   -3.3	    1.5	   -2.2	    1.9	  44.80	  44.60	.
2913098.0	  887.2	  545.1	 1335.0	  899.6	  552.7	 1989.0	   -2.8	    1.9	   -0.9	    3.2	  44.80	  44.60	.
2913100.0	  886.8	  545.0	 1336.0	  899.6	  553.3	 1990.0	   -2.4	    3.2	   -0.2	    3.6	  44.80	  44.60	.
2913102.0	  886.8	  545.7	 1336.0	  899.5	  553.6	 1990.0	   -2.2	    6.4	   -1.3	    3.6	  44.80	  44.60	.
2913104.0	  886.5	  546.0	 1336.0	  899.6	  553.6	 1990.0	   -2.4	    8.8	   -2.6	    2.8	  44.80	  44.60	.
2913106.0	  886.3	  547.5	 1336.0	  898.9	  554.3	 1990.0	   -3.2	    9.3	   -2.8	    2.1	  44.80	  44.60	.
2913108.0	  886.0	  547.9	 1337.0	  898.8	  554.1	 1990.0	   -3.3	    7.3	   -1.7	    0.7	  44.80	  44.60	.
